0.9041,"2018.1.16-2:47:34:257"
0.0378,"2018.1.16-2:47:51:266"
0.0301,"2018.1.16-2:48:8:762"
0.0255,"2018.1.16-2:48:25:880"
0.026,"2018.1.16-2:48:42:906"
0.022,"2018.1.16-2:49:0:115"
0.022,"2018.1.16-2:49:17:154"
0.0222,"2018.1.16-2:49:34:851"
0.0221,"2018.1.16-2:49:52:565"
0.0224,"2018.1.16-2:50:10:63"
0.0222,"2018.1.16-2:50:27:574"
0.0211,"2018.1.16-2:50:45:40"
0.0214,"2018.1.16-2:51:2:543"
0.0207,"2018.1.16-2:51:19:911"
0.0212,"2018.1.16-2:51:37:293"
0.0205,"2018.1.16-2:51:54:682"
0.0211,"2018.1.16-2:52:12:157"
0.0212,"2018.1.16-2:52:29:689"
0.0203,"2018.1.16-2:52:47:7"
0.0201,"2018.1.16-2:53:4:236"
0.0191,"2018.1.16-2:53:21:398"
0.0183,"2018.1.16-2:53:38:511"
0.0202,"2018.1.16-2:53:56:158"
0.0202,"2018.1.16-2:54:14:67"
0.0207,"2018.1.16-2:54:31:464"
0.0203,"2018.1.16-2:54:48:729"
0.0207,"2018.1.16-2:55:6:410"
0.02,"2018.1.16-2:55:24:258"
0.0218,"2018.1.16-2:55:41:845"
0.0205,"2018.1.16-2:55:59:347"
0.0205,"2018.1.16-2:56:16:912"
